"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2000","1,9490","1,9490","1,9490","1,9490","","0,00%"
"28.12.2000","1,9490","1,9580","1,9600","1,9480","","-0,46%"
"27.12.2000","1,9580","1,9600","1,9670","1,9560","","-0,05%"
"26.12.2000","1,9590","1,9580","1,9610","1,9540","","0,05%"
"25.12.2000","1,9580","1,9580","1,9580","1,9580","","0,00%"
"22.12.2000","1,9580","1,9530","1,9620","1,9480","","0,26%"
"21.12.2000","1,9530","1,9580","1,9630","1,9500","","-0,31%"
"20.12.2000","1,9590","1,9530","1,9600","1,9530","","0,26%"
"19.12.2000","1,9540","1,9570","1,9590","1,9490","","0,00%"
"18.12.2000","1,9540","1,9530","1,9600","1,9490","","-0,56%"
"15.12.2000","1,9650","1,9630","1,9710","1,9600","","0,10%"
"14.12.2000","1,9630","1,9640","1,9670","1,9600","","0,46%"
"13.12.2000","1,9540","1,9660","1,9670","1,9500","","-0,61%"
"12.12.2000","1,9660","1,9660","1,9720","1,9650","","0,00%"
"11.12.2000","1,9660","1,9590","1,9690","1,9590","","-0,05%"
"08.12.2000","1,9670","1,9730","1,9730","1,9630","","-0,30%"
"07.12.2000","1,9730","1,9740","1,9770","1,9640","","-0,05%"
"06.12.2000","1,9740","1,9560","1,9750","1,9560","","0,92%"
"05.12.2000","1,9560","1,9780","1,9780","1,9540","","-1,11%"
"04.12.2000","1,9780","1,9740","1,9870","1,9740","","0,36%"
"01.12.2000","1,9710","1,9790","1,9890","1,9700","","-0,40%"
"30.11.2000","1,9790","1,9570","1,9840","1,9510","","1,18%"
"29.11.2000","1,9560","1,9660","1,9690","1,9520","","-0,51%"
"28.11.2000","1,9660","1,9690","1,9820","1,9650","","-0,15%"
"27.11.2000","1,9690","1,9560","1,9710","1,9510","","0,56%"
"24.11.2000","1,9580","1,9520","1,9600","1,9490","","0,31%"
"23.11.2000","1,9520","1,9300","1,9520","1,9300","","1,14%"
"22.11.2000","1,9300","1,9190","1,9370","1,9190","","0,57%"
"21.11.2000","1,9190","1,9140","1,9320","1,8920","","0,16%"
"20.11.2000","1,9160","1,9680","1,9700","1,9130","","-2,54%"
"17.11.2000","1,9660","1,9500","1,9710","1,9500","","0,82%"
"16.11.2000","1,9500","1,9460","1,9510","1,9440","","0,36%"
"15.11.2000","1,9430","1,9470","1,9470","1,9430","","-0,41%"
"14.11.2000","1,9510","1,9490","1,9520","1,9380","","0,10%"
"13.11.2000","1,9490","1,9500","1,9600","1,9490","","-0,10%"
