"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/1999","1.8040","1.8040","1.8040","1.8040","","0.00%"
"12/30/1999","1.8040","1.8080","1.8080","1.7780","","-0.22%"
"12/29/1999","1.8080","1.8280","1.8280","1.8060","","-1.09%"
"12/28/1999","1.8280","1.8290","1.8310","1.8270","","-0.05%"
"12/27/1999","1.8290","1.8240","1.8320","1.8210","","-0.05%"
"12/24/1999","1.8300","1.8300","1.8320","1.8300","","0.00%"
"12/23/1999","1.8300","1.8200","1.8320","1.8200","","0.55%"
"12/22/1999","1.8200","1.8250","1.8250","1.8120","","-0.27%"
"12/21/1999","1.8250","1.8100","1.8290","1.8100","","0.83%"
"12/20/1999","1.8100","1.8000","1.8100","1.7940","","0.22%"
"12/17/1999","1.8060","1.8360","1.8360","1.7970","","-1.63%"
"12/16/1999","1.8360","1.8490","1.8490","1.8350","","-0.60%"
"12/15/1999","1.8470","1.8520","1.8520","1.8470","","-0.27%"
"12/14/1999","1.8520","1.8500","1.8520","1.8420","","0.11%"
"12/13/1999","1.8500","1.8620","1.8620","1.8480","","-0.64%"
"12/10/1999","1.8620","1.8690","1.8700","1.8610","","-0.37%"
"12/09/1999","1.8690","1.8640","1.8690","1.8640","","0.27%"
"12/08/1999","1.8640","1.8590","1.8640","1.8590","","0.27%"
"12/07/1999","1.8590","1.8660","1.8660","1.8570","","-0.38%"
"12/06/1999","1.8660","1.8770","1.8770","1.8620","","-0.59%"
"12/03/1999","1.8770","1.8830","1.8830","1.8700","","-0.32%"
"12/02/1999","1.8830","1.9100","1.9100","1.8810","","-1.41%"
"12/01/1999","1.9100","1.9220","1.9220","1.9100","","-0.62%"
"11/30/1999","1.9220","1.9200","1.9230","1.9200","","0.10%"
"11/29/1999","1.9200","1.9230","1.9240","1.9170","","-0.16%"
"11/26/1999","1.9230","1.9260","1.9280","1.9210","","-0.16%"
"11/25/1999","1.9260","1.9300","1.9300","1.9260","","-0.21%"
"11/24/1999","1.9300","1.9310","1.9310","1.9260","","-0.05%"
"11/23/1999","1.9310","1.9320","1.9320","1.9310","","-0.05%"
"11/22/1999","1.9320","1.9310","1.9330","1.9300","","0.05%"
"11/19/1999","1.9310","1.9290","1.9320","1.9280","","0.10%"
"11/18/1999","1.9290","1.9290","1.9290","1.9250","","0.00%"
"11/17/1999","1.9290","1.9310","1.9370","1.9270","","-0.10%"
"11/16/1999","1.9310","1.9290","1.9330","1.9290","","-0.10%"
"11/15/1999","1.9330","1.9330","1.9330","1.9330","","0.00%"
"11/12/1999","1.9330","1.9300","1.9350","1.9270","","0.16%"
"11/11/1999","1.9300","1.9270","1.9310","1.9210","","0.16%"
"11/10/1999","1.9270","1.9350","1.9430","1.9270","","-0.41%"
"11/09/1999","1.9350","1.9210","1.9350","1.9180","","0.52%"
